#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
506,Taxi,Vapid and Declasse (HD Universe),Service,Taxicab,4-door sedan,4,0,,VEHICLE,Grand Theft Auto#Grand Theft Auto 2#Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Washington#Stanier#Merit#Premier
507,Tourbus,Brute (HD Universe),Service,Public service vehicle,Double-decker bus (GTA London)#Minibus (GTA V),10,0,,VEHICLE,Grand Theft Auto: London 1969#Grand Theft Auto: London 1961#Grand Theft Auto V#Grand Theft Auto Online,0,Burrito#Double Decker#Rental Shuttle Bus#Ambulance#Camper (GTA V)
508,Trashmaster,• ­Brute (GTA IV; police scanner)• ­Jobuilt (GTA V),Service,Public service vehicle,2-door garbage truck,2,0,,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Garbage Truck
509,Trashmaster,• ­Brute (GTA IV; police scanner)• ­Jobuilt (GTA V),Service,Public service vehicle,2-door garbage truck,2,0,,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Garbage Truck
510,Wastelander,MTL,Service,Civilian truck,Custom cab-over engine truck,6,"$658,350#$495,000 (SecuroServ trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC],0,Flatbed
511,Bison,Bravado,Vans,Civilian vehicle,Double-cab pickup truck,6,"$30,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Duneloader#Rat-Loader
512,Bison,Bravado,Vans,Civilian vehicle,Double-cab pickup truck,6,"$30,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Duneloader#Rat-Loader
513,Bison,Bravado,Vans,Civilian vehicle,Double-cab pickup truck,6,"$30,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Duneloader#Rat-Loader
514,Bobcat XL,Vapid,Vans,Civilian car,2-door pickup truck,2,"$23,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Bobcat#Slamvan#Tow Truck
515,Boxville,Brute (HD Universe),Vans,Industrial vehicle,Multi-stop truck,2,"• ­$59,850 (Post OP Variant)#• ­$45,000 (Post OP Variant; Trade price)#(Warstock Cache & Carry)• ­$398,000 (LSDWP Variant)#• ­$298,500 (LSDWP Variant; Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Alphamail#Armored Boxville#Mr. Tasty#Mr. Whoopee#NOOSE Enforcer (GTA Chinatown Wars)#NOOSE Boxville#Taco Van,0
516,Boxville,Brute (HD Universe),Vans,Industrial vehicle,Multi-stop truck,2,"• ­$59,850 (Post OP Variant)#• ­$45,000 (Post OP Variant; Trade price)#(Warstock Cache & Carry)• ­$398,000 (LSDWP Variant)#• ­$298,500 (LSDWP Variant; Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Alphamail#Armored Boxville#Mr. Tasty#Mr. Whoopee#NOOSE Enforcer (GTA Chinatown Wars)#NOOSE Boxville#Taco Van,0
517,Boxville,Brute (HD Universe),Vans,Industrial vehicle,Multi-stop truck,2,"• ­$59,850 (Post OP Variant)#• ­$45,000 (Post OP Variant; Trade price)#(Warstock Cache & Carry)• ­$398,000 (LSDWP Variant)#• ­$298,500 (LSDWP Variant; Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Alphamail#Armored Boxville#Mr. Tasty#Mr. Whoopee#NOOSE Enforcer (GTA Chinatown Wars)#NOOSE Boxville#Taco Van,0
518,Boxville,Brute (HD Universe),Vans,Industrial vehicle,Multi-stop truck,2,"• ­$59,850 (Post OP Variant)#• ­$45,000 (Post OP Variant; Trade price)#(Warstock Cache & Carry)• ­$398,000 (LSDWP Variant)#• ­$298,500 (LSDWP Variant; Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Alphamail#Armored Boxville#Mr. Tasty#Mr. Whoopee#NOOSE Enforcer (GTA Chinatown Wars)#NOOSE Boxville#Taco Van,0
519,Armored Boxville,Brute,Vans,Civilian vehicle,Custom armored van,5,"$2,926,000#$2,200,000 (SecuroServ trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Boxville
520,Burrito,Declasse (HD Universe),Vans,Civilian van,Panel van,4,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,• ­Ambulance (HD Universe)• ­Angel• ­Bugstars Burrito• ­Camper (GTA V)• ­Dragon Wagon• ­Gang Burrito• ­Gumshoe• ­Laundromat• ­Newsvan (GTA San Andreas)• ­Police Transporter• ­Rental Shuttle Bus• ­Tourbus (GTA V),Moonbeam#Pony#Rumpo#Speedo#Youga
521,Burrito,Declasse (HD Universe),Vans,Civilian van,Panel van,4,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,• ­Ambulance (HD Universe)• ­Angel• ­Bugstars Burrito• ­Camper (GTA V)• ­Dragon Wagon• ­Gang Burrito• ­Gumshoe• ­Laundromat• ­Newsvan (GTA San Andreas)• ­Police Transporter• ­Rental Shuttle Bus• ­Tourbus (GTA V),Moonbeam#Pony#Rumpo#Speedo#Youga
522,Burrito,Declasse (HD Universe),Vans,Civilian van,Panel van,4,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,• ­Ambulance (HD Universe)• ­Angel• ­Bugstars Burrito• ­Camper (GTA V)• ­Dragon Wagon• ­Gang Burrito• ­Gumshoe• ­Laundromat• ­Newsvan (GTA San Andreas)• ­Police Transporter• ­Rental Shuttle Bus• ­Tourbus (GTA V),Moonbeam#Pony#Rumpo#Speedo#Youga
523,Burrito,Declasse (HD Universe),Vans,Civilian van,Panel van,4,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,• ­Ambulance (HD Universe)• ­Angel• ­Bugstars Burrito• ­Camper (GTA V)• ­Dragon Wagon• ­Gang Burrito• ­Gumshoe• ­Laundromat• ­Newsvan (GTA San Andreas)• ­Police Transporter• ­Rental Shuttle Bus• ­Tourbus (GTA V),Moonbeam#Pony#Rumpo#Speedo#Youga
524,Camper,Brute (HD Universe),Vans,Civilian vehicle,4-door van (GTA London)#3-door van (GTA San Andreas)#Class C motorhome (GTA V),4,"$20,800 (Exports and Imports, GTA San Andreas)",,VEHICLE,Grand Theft Auto: London 1969#Grand Theft Auto: London 1961#Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,0,Surfer#Journey#Burrito
525,Clown Van,Vapid,Vans,Civilian van,Full-size van,4,0,,VEHICLE,Grand Theft Auto V [U]#Grand Theft Auto Online,0,Speedo
526,Gang Burrito,Declasse (HD Universe),Vans,Gang car,2-door van,4,"$86,450 #$65,000 (after Pacific Standard - Hack, Gang-less)#(Online, Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#The Lost and Damned#Grand Theft Auto V (Lost MC only)#Grand Theft Auto Online [DLC],0,Burrito#Angel
527,Gang Burrito,Declasse (HD Universe),Vans,Gang car,2-door van,4,"$86,450 #$65,000 (after Pacific Standard - Hack, Gang-less)#(Online, Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#The Lost and Damned#Grand Theft Auto V (Lost MC only)#Grand Theft Auto Online [DLC],0,Burrito#Angel
528,Journey,Zirconium (HD Universe),Vans,Civilian motorhome,Class C motorhome (GTA SA)#Class A motorhome (GTA V),2,"$17,600 (GTA SA)#(Exports and Imports)#$15,000 (Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,0,Camper
529,Minivan,Vapid,Vans,Civilian car,4-door minivan,4,"$30,000 (GTA Online)#(Southern San Andreas Super Autos & Benny's Original Motor Works {latter for enhanced version only})",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Cabby#Minivan Custom,Blista (3D Universe)
530,Minivan Custom,Vapid,Vans,Civilian car,4-door minivan,4,"$330,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Minivan#Moonbeam Custom
531,Paradise,Bravado,Vans,Civilian van,Full size van,4,"$25,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Rumpo#Rumpo Custom
532,Pony,Brute (HD Universe),Vans,Civilian van (3D Universe)#Commercial vehicle (HD Universe),Full size van,4,0,,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance [CUT]#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Ballot Van#Berkley's RC Van#Panlantic#Toyz#Top Fun,Rumpo#Burrito#Speedo
533,Pony,Brute (HD Universe),Vans,Civilian van (3D Universe)#Commercial vehicle (HD Universe),Full size van,4,0,,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance [CUT]#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Ballot Van#Berkley's RC Van#Panlantic#Toyz#Top Fun,Rumpo#Burrito#Speedo
534,Rumpo,Bravado (HD Universe),Vans,"Civilian car (GTA III, SA, & LCS)#Commercial vehicle (GTA VC & VCS)",Full sized van,4,"$13,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Hoods Rumpo XL#Campaign Rumpo#Paradise#Rumpo Custom,Youga#Burrito#Pony
535,Rumpo,Bravado (HD Universe),Vans,"Civilian car (GTA III, SA, & LCS)#Commercial vehicle (GTA VC & VCS)",Full sized van,4,"$13,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Hoods Rumpo XL#Campaign Rumpo#Paradise#Rumpo Custom,Youga#Burrito#Pony
536,Rumpo Custom,Bravado,Vans,Civilian vehicle,Passenger van,4,"$130,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Rumpo#Campaign Rumpo#Hoods Rumpo XL#Paradise#Youga Classic 4x4
537,Speedo,Vapid,Vans,Civilian van,Full-size van,4,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Clown Van#Speedo Custom,Moonbeam#Burrito#Pony#Rumpo#Youga
538,Speedo Custom,Vapid,Vans,Civilian van,Full-size van,4,FREE (Included with the purchase of any Nightclub),,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Weaponized Tampa#Speedo#Clown Van#Mule Custom#Pounder Custom
539,Surfer,BF,Vans,Civilian van,4-door van,2,"$11,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Camper (SA)#Youga Classic
540,Surfer,BF,Vans,Civilian van,4-door van,2,"$11,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Camper (SA)#Youga Classic
541,Taco Van,Brute,Vans,Commerical vehicle,Multi-stop truck,1,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Boxville#Mr Tasty#Hotdog
542,Youga,Bravado,Vans,Civilian van,Full size van,2,"$16,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Rumpo#Speedo#Moonbeam (3D Universe)
543,Youga Classic,Bravado (GXT/Files)#Vapid (Website)[1],Vans,Civilian van,Full size van,4,"$195,000 (Southern San Andreas Super Autos & Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Youga Classic 4x4,Surfer
544,Youga Classic 4x4,Bravado,Vans,Civilian vehicle,4-door custom van,4,"$1,288,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Youga#Youga Classic#Gang Burrito#Rumpo Custom#Brutus
545,Airtug,HVY,Utility,Public service vehicle,Airport tug,2,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Baggage Handler#Tug
546,Caddy,Nagasaki (GTA V),Utility,Civilian car,"Golf cart#Warehouse utility vehicle (GTA Online, Bunker variant)",2,"$85,000 (Civilian variant)#$120,000 (Bunker variant)#(Online, Bunker property on Maze Bank Foreclosures)",,VEHICLE,Grand Theft Auto: Vice City (Golf Caddy only)#Grand Theft Auto: San Andreas (Golf Caddy only)#Grand Theft Auto: Vice City Stories (Golf Caddy only)#The Ballad of Gay Tony (Golf Caddy only)#Grand Theft Auto V#Grand Theft Auto Online,0,0
547,Caddy,Nagasaki (GTA V),Utility,Civilian car,"Golf cart#Warehouse utility vehicle (GTA Online, Bunker variant)",2,"$85,000 (Civilian variant)#$120,000 (Bunker variant)#(Online, Bunker property on Maze Bank Foreclosures)",,VEHICLE,Grand Theft Auto: Vice City (Golf Caddy only)#Grand Theft Auto: San Andreas (Golf Caddy only)#Grand Theft Auto: Vice City Stories (Golf Caddy only)#The Ballad of Gay Tony (Golf Caddy only)#Grand Theft Auto V#Grand Theft Auto Online,0,0
548,Caddy,Nagasaki (GTA V),Utility,Civilian car,"Golf cart#Warehouse utility vehicle (GTA Online, Bunker variant)",2,"$85,000 (Civilian variant)#$120,000 (Bunker variant)#(Online, Bunker property on Maze Bank Foreclosures)",,VEHICLE,Grand Theft Auto: Vice City (Golf Caddy only)#Grand Theft Auto: San Andreas (Golf Caddy only)#Grand Theft Auto: Vice City Stories (Golf Caddy only)#The Ballad of Gay Tony (Golf Caddy only)#Grand Theft Auto V#Grand Theft Auto Online,0,0
549,Docktug,HVY[1],Utility,Industrial truck,Tractor trailer truck,1,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
550,Fieldmaster,Stanley,Utility,Farm/Industrial vehicle,Tractor,1,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
551,Fieldmaster,Stanley,Utility,Farm/Industrial vehicle,Tractor,1,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
552,Forklift,HVY (HD Universe),Utility,Industrial vehicle,Forklift,1,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,0
553,Lawn Mower,Jack Sheepe (HD Universe),Utility,Lawn mower,Riding lawn mower,1,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,0,0
554,Ripley,HVY (HD Universe),Utility,Public service vehicle,Airline pushback,2,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,0
555,Sadler,Vapid (HD Universe),Utility,Civilian pickup truck,• ­2-door pickup truck (GTA San Andreas)#• ­4-door pickup truck (GTA V),2,"$35,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,0,Sandking XL#Sandking SWB#Contender
556,Scrap Truck,Vapid,Utility,Industrial vehicle,Scrap truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Yankee#Towtruck#Benson#Prison Bus
557,Slamtruck,Vapid,Utility,Civillian car,2-door car hauler,2,"$1,310,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Slamvan#Towtruck#Flatbed#Recovery
558,Tractor,Stanley (HD Universe),Utility,Industrial vehicle,Tractor,1,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online [EV],0,Fieldmaster
559,Utility Truck,Brute,Utility,Utility Truck,Large Utility Van,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Stockade#Utility Van
560,Utility Truck,Brute,Utility,Utility Truck,Large Utility Van,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Stockade#Utility Van
561,Utility Truck,Vapid (HD Universe),Utility,Industrial vehicle,Utility pick-up truck,2,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,0,Contender#Utility Truck
562,Boat Trailer,0,Utility,Civilian trailer,Boat trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (small)
563,Trailer,0,Utility,Civilian trailer,Storage trailer/generator trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Boat Trailer#Trailer (large)
564,Trailer,0,Utility,Civilian trailer,Container/curtain-side/box/ramp trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (flatbed)#Army Trailer (tanker)#Trailer (tanker)
565,Trailer,0,Utility,Civilian trailer,Container/curtain-side/box/ramp trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (flatbed)#Army Trailer (tanker)#Trailer (tanker)
566,Trailer,0,Utility,Civilian trailer,Container/curtain-side/box/ramp trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (flatbed)#Army Trailer (tanker)#Trailer (tanker)
567,Trailer,0,Utility,Civilian trailer,Container/curtain-side/box/ramp trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (flatbed)#Army Trailer (tanker)#Trailer (tanker)
568,Trailer,0,Utility,Civilian trailer,Container/curtain-side/box/ramp trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (flatbed)#Army Trailer (tanker)#Trailer (tanker)
569,Dock Trailer,0,Utility,Civilian trailer,Container carrier,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
570,Trailer,0,Utility,Civilian trailer,Car carrier,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online (tr2 only),0,0
571,Trailer,0,Utility,Civilian trailer,Tanker trailer,0,0,,VEHICLE,Grand Theft Auto 2#Grand Theft Auto: San Andreas#Grand Theft Auto IV#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Army Trailer (tanker),Tanker#Tank Car
572,Trailer,0,Utility,Civilian trailer,Tanker trailer,0,0,,VEHICLE,Grand Theft Auto 2#Grand Theft Auto: San Andreas#Grand Theft Auto IV#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Army Trailer (tanker),Tanker#Tank Car
573,Army Trailer,0,Utility,Military trailer,Tanker trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Army Trailer#Trailer (tanker)
574,Trailer,0,Utility,Civilian trailer,Flatbed trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Army Trailer#Trailer (large)
575,Trailer,0,Utility,Civilian trailer,Flatbed carrier trailer,0,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Trailer (flatbed)
576,Mobile Operations Center,Pegasus[1],Utility,Military vehicle,Modular Trailer,3,"$1,225,000-2,790,000#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Avenger#Terrorbyte
577,Proptrailer,0,Utility,Civilian trailer,Travel trailer,0,0,,VEHICLE,Grand Theft Auto V [MO],0,0
578,Trailer,0,Utility,Civilian trailer,Rake Trailer,0,0,,VEHICLE,Grand Theft Auto V,0,Farm Trailer
579,BMX,0,Cycles,Bicycle,0,1,$500 (Story Mode)#$800 (Online)#(Pedal and Metal Cycles),,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,0,0
580,Cruiser,0,Cycles,Civilian bike,Bicycle,1,"$3,000 (Story Mode)#$800 (Online)#(Pedal and Metal Cycles)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
581,Endurex Race Bike,0,Cycles, Bicycle,Racing bike,1,"$2,500 (Story Mode)#$10,000 (Online)#(Pedal and Metal Cycles)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Whippet Race Bike#Tri-Cycles Race Bike
582,Fixter,0,Cycles, Bicycle,Fixie,1,0,,VEHICLE,Grand Theft Auto V,0,0
583,Scorcher,0,Cycles,Bicycle,Hardtail mountain bike,1,"$1,000 (Story Mode)#$2,000 (Online)#(Pedal and Metal Cycles)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Mountain Bike
584,Tri-Cycles Race Bike,0,Cycles,Bicycle,Racing bike,1,"$2,500 (Story Mode)#$10,000 (Online)#(Pedal and Metal Cycles)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Endurex Race Bike#Whippet Race Bike
585,Whippet Race Bike,0,Cycles,Bicycle,0,1,"$2,500 (Story Mode)#$10,000 (Online)#(Pedal and Metal Cycles)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Endurex Race Bike#Tri-Cycles Race Bike
586,Anti-Aircraft Trailer,Vom Feuer,Military,Military trailer,Gun carriage trailer,1,"$1,862,000#$1,400,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Chernobog#Trailer (small)
587,APC,HVY,Military,Law Enforcement/Military Vehicle,Armored Personal Carrier,2,"$3,092,250#$2,325,000 (Trade price)#(GTA Online) (Warstock Cache & Carry)",,VEHICLE,The Ballad Of Gay Tony#Grand Theft Auto Online [DLC] [EV],0,Pacifier#Zhaba#Rhino#S.W.A.T.
588,Barracks,HVY (HD Universe),Military,Military vehicle,Armored military truck,2,"$450,000(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Barracks Semi,Vetir#Flatbed (Grand Theft Auto: San Andreas)#Pacifier
589,Barracks,HVY (HD Universe),Military,Military vehicle,Armored military truck,2,"$450,000(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Barracks Semi,Vetir#Flatbed (Grand Theft Auto: San Andreas)#Pacifier
590,Barracks Semi,HVY,Military,Military vehicle,Semi-trailer truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Barracks
591,Barrage,HVY[1],Military,Military vehicle,Off-road buggy,4,"$2,121,350#$1,595,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Insurgent Pick-Up#Insurgent Pick-Up Custom#Nightshark#Menacer
592,Chernobog,HVY[1],Military,Military vehicle,Artillery truck,2,"$3,311,700#$2,490,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Anti-Aircraft Trailer#ICBM
593,Crusader,Canis,Military,Military vehicle,4-door SUV,4,"$225,000#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Mesa
594,Half-track,Bravado,Military,Military vehicle,Half-Track,3,"$2,254,350#$1,695,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Duneloader
595,Invade and Persuade Tank,0,Military,RC Vehicle,Toy tank,1,"$2,275,000 (Warstock Cache & Carry)#FREE (For players who logged in on December 25, 2019)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,RC Tiger#RC Bandito
596,Rhino Tank,0,Military,Military armored vehicle,"Medium tank (GTA III, GTA Vice City, GTA LCS, GTA VCS and GTA CW)#Main battle tank (GTA San Andreas and GTA V)",2,"$10,000 (Auto merchant)#(Chinatown Wars)# $3,000,000 (GTA V)#$1,500,000 (Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,0,TM-02 Khanjali# T-34#Tank#Tiger Tank#Royal Pain
597,Apocalypse Scarab,HVY,Military,Military vehicle,Custom light tank,4,"$3,076,290#$2,313,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Scarab#Nightmare Scarab,0
